inventory_year,survey_unit,country,plot_number,tree_number,diametr,height,log_height,log_diametr
2022,3,21,1040,18,8.6,33.0,3.4965075614664802,2.151762203259462
2022,3,21,1040,19,8.4,26.0,3.258096538021482,2.128231705849268
2022,3,21,1040,23,8.6,45.0,3.8066624897703196,2.151762203259462
2022,3,21,1040,25,7.5,25.0,3.2188758248682006,2.0149030205422647
2022,3,21,1040,31,5.9,28.0,3.332204510175204,1.7749523509116738
2022,3,21,1256,7,9.5,45.0,3.8066624897703196,2.2512917986064953
2022,3,21,1342,5,9.5,47.0,3.8501476017100584,2.2512917986064953
2022,3,21,1342,7,10.1,57.0,4.04305126783455,2.312535423847214
2022,3,21,1482,12,1.2,9.0,2.1972245773362196,0.1823215567939546
2022,3,21,3190,3,3.0,20.0,2.995732273553991,1.0986122886681098
2022,3,21,3190,5,3.2,25.0,3.2188758248682006,1.1631508098056809
2022,3,21,3190,6,7.0,35.0,3.5553480614894135,1.9459101490553132
2022,3,21,3190,7,13.2,72.0,4.276666119016055,2.580216829592325
2022,3,21,3190,8,12.8,61.0,4.110873864173311,2.5494451709255714
2022,3,21,3190,11,11.0,59.0,4.07753744390572,2.3978952727983707
2022,3,25,534,3,2.8,25.0,3.2188758248682006,1.0296194171811581
2022,3,25,534,4,11.2,59.0,4.07753744390572,2.4159137783010487
2022,3,25,534,6,10.4,56.0,4.02535169073515,2.341805806147327
2022,3,25,534,9,7.2,50.0,3.912023005428146,1.9740810260220096
2022,3,25,534,11,7.5,55.0,4.007333185232471,2.0149030205422647
2022,3,25,534,15,10.5,52.0,3.9512437185814275,2.3513752571634776
2022,3,25,534,16,11.8,64.0,4.1588830833596715,2.468099531471619
2022,3,25,534,19,7.2,47.0,3.8501476017100584,1.9740810260220096
2022,3,25,534,20,8.8,53.0,3.970291913552122,2.174751721484161
2022,3,25,534,21,9.8,51.0,3.9318256327243257,2.2823823856765264
2022,3,25,534,22,13.9,72.0,4.276666119016055,2.631888840136646
2022,3,25,534,23,12.9,62.0,4.127134385045092,2.5572273113676265
2022,3,25,796,10,15.3,59.0,4.07753744390572,2.72785282839839
