plot_sequence_number,inventory_year,survey_unit,country,plot_number,tree_number,diametr,height,log_height,log_diametr
722577853290487,2021,2,9,883,50,5.3,40.0,3.6888794541139363,1.667706820558076
1192967946290487,2023,2,9,915,1,4.3,28.0,3.332204510175204,1.4586150226995167
306275678489998,2016,2,9,915,2,2.3,15.0,2.70805020110221,0.8329091229351039
1192967946290487,2023,2,9,915,4,7.1,40.0,3.6888794541139363,1.9600947840472698
306275678489998,2016,2,9,915,5,3.4,23.0,3.1354942159291497,1.2237754316221157
1192967946290487,2023,2,9,915,7,9.6,50.0,3.912023005428146,2.2617630984737906
1192967946290487,2023,2,9,915,13,5.5,38.0,3.6375861597263857,1.7047480922384253
1192967946290487,2023,2,9,915,14,8.3,52.0,3.9512437185814275,2.1162555148025524
306275678489998,2016,2,9,915,15,1.6,11.0,2.3978952727983707,0.47000362924573563
464691508489998,2018,2,9,927,2,7.0,37.0,3.6109179126442243,1.9459101490553132
618642412126144,2020,2,9,978,2,13.4,55.0,4.007333185232471,2.5952547069568657
511267832126144,2019,2,9,982,2,14.8,74.0,4.30406509320417,2.6946271807700692
511267832126144,2019,2,9,982,7,2.7,16.0,2.772588722239781,0.9932517730102834
511267832126144,2019,2,9,982,12,3.2,20.0,2.995732273553991,1.1631508098056809
511267832126144,2019,2,9,982,19,5.2,43.0,3.7612001156935624,1.6486586255873816
511267832126144,2019,2,9,982,27,5.8,40.0,3.6888794541139363,1.7578579175523736
118137420010661,2008,2,9,1014,3,9.9,52.0,3.9512437185814275,2.2925347571405443
1192967968290487,2023,2,9,1031,1,14.4,67.0,4.204692619390966,2.667228206581955
1192967968290487,2023,2,9,1031,4,8.0,46.0,3.828641396489095,2.0794415416798357
1192967968290487,2023,2,9,1031,5,6.1,31.0,3.4339872044851463,1.8082887711792655
1192967968290487,2023,2,9,1031,6,9.4,54.0,3.9889840465642745,2.2407096892759584
1192967968290487,2023,2,9,1031,7,11.8,53.0,3.970291913552122,2.468099531471619
1192967968290487,2023,2,9,1031,8,6.4,38.0,3.6375861597263857,1.8562979903656263
1192967968290487,2023,2,9,1031,9,7.9,41.0,3.713572066704308,2.066862759472976
1192967968290487,2023,2,9,1031,10,6.2,38.0,3.6375861597263857,1.824549292051046
1192967968290487,2023,2,9,1031,11,8.9,50.0,3.912023005428146,2.186051276738094
1192967968290487,2023,2,9,1031,12,6.4,38.0,3.6375861597263857,1.8562979903656263
1192967968290487,2023,2,9,1031,13,9.7,46.0,3.828641396489095,2.272125885509337
1192967968290487,2023,2,9,1031,14,8.8,48.0,3.871201010907891,2.174751721484161
1192967968290487,2023,2,9,1031,15,5.4,26.0,3.258096538021482,1.6863989535702288
1192967968290487,2023,2,9,1031,17,7.2,45.0,3.8066624897703196,1.9740810260220096
1192967968290487,2023,2,9,1031,18,10.5,51.0,3.9318256327243257,2.3513752571634776
1192967968290487,2023,2,9,1031,19,9.5,49.0,3.8918202981106265,2.2512917986064953
1192967968290487,2023,2,9,1031,21,7.6,42.0,3.7376696182833684,2.028148247292285
